127.0.0.1 - - [20/Mar/2017:19:37:18 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:37:53 -0500] "GET /messenger/webapi/profiles HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:38:17 -0500] "GET /messenger/webapi/profiles HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:38:32 -0500] "GET /messenger/webapi/profiles/kumar HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:38:35 -0500] "GET /messenger/webapi/profiles/kum HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:38:37 -0500] "GET /messenger/webapi/profiles/kumar HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:39:21 -0500] "POST /messenger/webapi/profiles HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:39:31 -0500] "GET /messenger/webapi/profiles HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:40:22 -0500] "PUT /messenger/webapi/profiles HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:40:39 -0500] "PUT /messenger/webapi/profiles HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:40:48 -0500] "PUT /messenger/webapi/profiles HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:42:31 -0500] "PUT /messenger/webapi/profiles/yyy HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:42:41 -0500] "GET /messenger/webapi/profiles HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:43:03 -0500] "GET /messenger/webapi/profiles HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:43:13 -0500] "DELETE /messenger/webapi/profiles/yyy HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:19:43:19 -0500] "GET /messenger/webapi/profiles HTTP/1.1" 200 136
